A    a
FIASKO    f i a s k o
FIAT    f i a t
FIBER    f i b ## r
FIBRASI    f i b r a s i
FIBRIBLAS    f i b r i b l a s
FIBRIL    f i b r i l
FIBRILASI    f i b r i l a s i
FIBRIN    f i b r i n
FIBRINOGEN    f i b r i n o g ## n
FIBROKISTIK    f i b r o k i s t i k
FIDAH    f i d a h
FIDER    f i d ## r
FIDIAH    f i d i a h
FIDUSIA    f i d u s i a
FIDYAH    f i d y a h
FIGUR    f i g u r
FIGURAN    f i g u r a n
FIGURATIF    f i g u r a t i f
FIIL    f i i l
FIKIH    f i k i h
FIKLI    f i k l i
FIKOLOGI    f i k o l o g i
FIKRAH    f i k r a h
FIKSASI    f i k s a s i
FIKSI    f i k s i
FIKTIF    f i k t i f
FIKUS    f i k u s
FILAMEN    f i l a m ## n
FILANTROP    f i l a n t r o p
FILANTROPI    f i l a n t r o p i
FILANTROPIS    f i l a n t r o p i s
FILARIA    f i l a r i a
FILARIASIS    f i l a r i a s i s
FILATELI    f i l a t ## l i
FILATELIK    f i l a t ## l i k
FILATELIS    f i l a t ## l i s
FILHARMONI    f i l h a r m o n i
FILIAL    f i l i a l
FILIBUSTER    f i l i b u s t ## r
FILM    f i l m
FILMIS    f i l m i s
FILO    f i l o
FILODENDRON    f i l o d ## n d r o n
FILOGENESIS    f i l o g ## n ## s i s
FILOGENI    f i l o g ## n i
FILOLOG    f i l o l o g
FILOLOGI    f i l o l o g i
FILOLOGIS    f i l o l o g i s
FILOPUR    f i l o p u r
FILOSOF    f i l o s o f
FILOSOFI    f i l o s o f i
FILOSOFIS    f i l o s o f i s
FILSAFAT    f i l s a f a t
FILSUF    f i l s u f
FILTER    f i l t ## r
FILTRASI    f i l t r a s i
FILTRAT    f i l t r a t
FILUM    f i l u m
FIMBRIA    f i m b r i a
FINAL    f i n a l
FINANSIAL    f i n a n s i a l
FINIR    f i n i r
FINIS    f i n i s
FIOLAKS    f i o l a k s
FIRAJULLAH    f i r a j u l l a h
FIRASAT    f i r a s a t
FIRAUNIAH    f i r ## n i a h
FIRDAUS    f i r d ## s
FIRDAUSI    f i r d ## s i
FIRJATULLAH    f i r j a t u l l a h
FIRKAH    f i r k a h
FIRMA    f i r m a
FIRMAN    f i r m a n
FIRN    f i r n
FISI    f i s i
FISIBEL    f i s i b ## l
FISIBILITAS    f i s i b i l i t a s
FISIK    f i s i k
FISIKA    f i s i k a
FISIKAWAN    f i s i k a w a n
FISIOGNOMI    f i s i o g n o m i
FISIOGNOMIS    f i s i o g n o m i s
FISIOLOGI    f i s i o l o g i
FISIOLOGIS    f i s i o l o g i s
FISIOTERAPI    f i s i o t ## r a p i
FISIS    f i s i s
FISKAL    f i s k a l
FIT    f i t
FITING    f i t i ng
FITNAH    f i t n a h
FITOFAG    f i t o f a g
FITOFOGUS    f i t o f o g u s
FITOGENI    f i t o g ## n i
FITOGEOGRAFI    f i t o g ## o g r a f i
FITOKIMIA    f i t o k i m i a
FITOLOGI    f i t o l o g i
FITOMETER    f i t o m ## t ## r
FITON    f i t o n
FITOPATOLOGI    f i t o p a t o l o g i
FITOSANITASI    f i t o s a n i t a s i
FITOSOSIOLOGI    f i t o s o s i o l o g i
FITOSTEROL    f i t o s t ## r o l
FITOSTROT    f i t o s t r o t
FITOTOKSIN    f i t o t o k s i n
FITOTOKSOID    f i t o t o k s ## d
FITOTOPOGRAFI    f i t o t o p o g r a f i
FITOTRON    f i t o t r o n
FITRAH    f i t r a h
FITRI    f i t r i
FLAKON    f l a k o n
FLAMBOYAN    f l a m b o y a n
FLAMINGO    f l a m i ng o
FLANEL    f l a n ## l
FLAT    f l a t
FLEGMA    f l ## g m a
FLEGMATIS    f l ## g m a t i s
FLEKSI    f l ## k s i
FLEKSIBEL    f l ## k s i b ## l
FLEKSIBILITAS    f l ## k s i b i l i t a s
FLEKSOR    f l ## k s o r
FLENSA    f l ## n s a
FLIP-PLOP    f l i p p l o p
FLIS    f l i s
FLOEM    f l o ## m
FLOP    f l o p
FLORA    f l o r a
FLORET    f l o r ## t
FLOTASI    f l o t a s i
FLOTET    f l o t ## t
FLU    f l u
FLUENSI    f l u ## n s i
FLUIDA    f l u i d a
FLUKS    f l u k s
FLUKTUASI    f l u k t u a s i
FLUKTUATIF    f l u k t u a t i f
FLUOR    f l u o r
FLUORESEN    f l u o r ## s ## n
FLUORESENS    f l u o r ## s ## n s
FLUORIN    f l u o r i n
FLUORIT    f l u o r i t
FOBIA    f o b i a
FOKIMETER    f o k i m ## t ## r
FOKSTROT    f o k s t r o t
FOKUS    f o k u s
FOLDER    f o l d ## r
FOLI    f o l i
FOLIKEL    f o l i k ## l
FOLIO    f o l i o
FOLKLOR    f o l k l o r
FOLKSONG    f o l k s o ng
FON    f o n
FONASI    f o n a s i
FONDAMEN    f o n d a m ## n
FONDASI    f o n d a s i
FONDS    f o n d s
FONEM    f o n ## m
FONEMIK    f o n ## m i k
FONEMIS    f o n ## m i s
FONETIK    f o n ## t i k
FONETIS    f o n ## t i s
FONIK    f o n i k
FONIS    f o n i s
FONOGRAF    f o n o g r a f
FONOGRAFI    f o n o g r a f i
FONOLOGI    f o n o l o g i
FONOLOGIS    f o n o l o g i s
FONON    f o n o n
FONOTAKTIK    f o n o t a k t i k
FONOTIPI    f o n o t i p i
FORAMEN    f o r a m ## n
FORAMINIFERA    f o r a m i n i f ## r a
FORENSIK    f o r ## n s i k
FORKLIF    f o r k l i f
FORMA    f o r m a
FORMAL    f o r m a l
FORMALIN    f o r m a l i n
FORMALISTIS    f o r m a l i s t i s
FORMALITAS    f o r m a l i t a s
FORMAN    f o r m a n
FORMASI    f o r m a s i
FORMAT    f o r m a t
FORMATIF    f o r m a t i f
FORMATIR    f o r m a t i r
FORMATUR    f o r m a t u r
FORMIKA    f o r m i k a
FORMULA    f o r m u l a
FORMULASI    f o r m u l a s i
FORMULATOR    f o r m u l a t o r
FORMULIR    f o r m u l i r
FORNIFIKASI    f o r n i f i k a s i
FORNIKASI    f o r n i k a s i
FORSEP    f o r s ## p
FORSIR    f o r s i r
FORSIT    f o r s i t
FORTE    f o r t ##
FORTIFIKASI    f o r t i f i k a s i
FORTIN    f o r t i n
FORUM    f o r u m
FOSFAT    f o s f a t
FOSFINA    f o s f i n a
FOSFIT    f o s f i t
FOSFOR    f o s f o r
FOSFORESENS    f o s f o r ## s ## n s
FOSFORILASE    f o s f o r i l a s ##
FOSFORUS    f o s f o r u s
FOSGEN    f o s g ## n
FOSIL    f o s i l
FOTO    f o t o
FOTODIODE    f o t o d i o d ##
FOTOELEKTRON    f o t o ## l ## k t r o n
FOTOEMISI    f o t o ## m i s i
FOTOGENIK    f o t o g ## n i k
FOTOGRAF    f o t o g r a f
FOTOGRAFER    f o t o g r a f ## r
FOTOGRAFI    f o t o g r a f i
FOTOGRAFIS    f o t o g r a f i s
FOTOGRAVER    f o t o g r a f ## r
FOTOGRAVUR    f o t o g r a f u r
FOTOKIMIA    f o t o k i m i a
FOTOKONDUKSI    f o t o k o n d u k s i
FOTOKONDUKTIVITAS    f o t o k o n d u k t i f i t a s
FOTOKONDUKTOR    f o t o k o n d u k t o r
FOTOKOPI    f o t o k o p i
FOTOKROMI    f o t o k r o m i
FOTOKROMIK    f o t o k r o m i k
FOTOLISIS    f o t o l i s i s
FOTOLITOGRAFI    f o t o l i t o g r a f i
FOTOMETER    f o t o m ## t ## r
FOTOMETRI    f o t o m ## t r i
FOTOMIKROGRAFI    f o t o m i k r o g r a f i
FOTOMODEL    f o t o m o d ## l
FOTON    f o t o n
FOTOPERIODISME    f o t o p ## r i o d i s m ##
FOTOSEL    f o t o s ## l
FOTOSFER    f o t o s f ## r
FOTOSINTESIS    f o t o s i n t ## s i s
FOTOSTAT    f o t o s t a t
FOTOTAKSIS    f o t o t a k s i s
FOTOTROPIS    f o t o t r o p i s
FOTOTUSTEL    f o t o t u s t ## l
FOVEA    f o f ## a
FOYA    f o y a
FRAGMEN    f r a g m ## n
FRAGMENTARIS    f r a g m ## n t a r i s
FRAGMENTASI    f r a g m ## n t a s i
FRAKSI    f r a k s i
FRAKSINASI    f r a k s i n a s i
FRAKTUR    f r a k t u r
FRAKTUS    f r a k t u s
FRAMBUSIA    f r a m b u s i a
FRANSIUM    f r a n s i u m
FRASA    f r a s a
FRASE    f r a s ##
FRASEOLOGI    f r a s ## o l o g i
FRATER    f r a t ## r
FRATERNITAS    f r a t ## r n i t a s
FREATOFIT    f r ## a t o f i t
FREGAT    f r ## g a t
FREKUEN    f r ## k u ## n
FREKUENSI    f r ## k u ## n s i
FREKUENTATIF    f r ## k u ## n t a t i f
FRENOLOGI    f r ## n o l o g i
FREON    f r ## o n
FRIB    f r i b
FRIGID    f r i g i d
FRIGORIGRAF    f r i g o r i g r a f
FRIGORIMETER    f r i g o r i m ## t ## r
FRIKATIF    f r i k a t i f
FRIKSI    f r i k s i
FRON    f r o n
FRONT    f r o n t
FRONTAL    f r o n t a l
FRUKTOSA    f r u k t o s a
FRUSTRASI    f r u s t r a s i
FUAD    f u a d
FUGASITAS    f u g a s i t a s
FUJUR    f u j u r
FUKAHA    f u k a h a
FUKARA    f u k a r a
FUKSINA    f u k s i n a
FULGURIT    f u l g u r i t
FULI    f u l i
FULMINAT    f u l m i n a t
FULUS    f u l u s
FUMAROL    f u m a r o l
FUMIGAN    f u m i g a n
FUMIGASI    f u m i g a s i
FUMIGATOR    f u m i g a t o r
FUNDAMEN    f u n d a m ## n
FUNDAMENTAL    f u n d a m ## n t a l
FUNDAMENTALIS    f u n d a m ## n t a l i s
FUNDAMENTALISME    f u n d a m ## n t a l i s m ##
FUNDAMENTALISTIS    f u n d a m ## n t a l i s t i s
FUNGI    f u ng i
FUNGIBEL    f u ng i b ## l
FUNGISIDA    f u ng i s i d a
FUNGISTATIK    f u ng i s t a t i k
FUNGOID    f u ng ## d
FUNGSI    f u ng s i
FUNGSIONAL    f u ng s i o n a l
FUNGSIONALISASI    f u ng s i o n a l i s a s i
FUNGSIONALISME    f u ng s i o n a l i s m ##
FUNGSIONALITAS    f u ng s i o n a l i t a s
FUNGSIONARIS    f u ng s i o n a r i s
FUNGUS    f u ng u s
FURFURAL    f u r f u r a l
FURKAN    f u r k a n
FURNITUR    f u r n i t u r
FURQAN    f u r k a n
FURUK    f u r u k
FUSI    f u s i
FUSTA    f u s t a
FUSUK    f u s u k
FUTUAL    f u t u a l
FUTUR    f u t u r
FUTURISME    f u t u r i s m ##
FUTURISTIK    f u t u r i s t i k
FUTURISTIS    f u t u r i s t i s
FUTUROLOG    f u t u r o l o g
FUTUROLOGI    f u t u r o l o g i
FUTUROLOGIS    f u t u r o l o g i s
FYORD    f y o r d
G    g
GABA-GABA    g a b a g a b a
GABAH    g a b a h
GABAI    g a b ##
GABAK    g a b a k
GABARDIN    g a b a r d i n
GABAS    g a b a s
GABIR    g a b i r
GABLEG    g a b l ## g
GABLEK    g a b l ## k
GABOR    g a b o r
GABRO    g a b r o
GABRUK    g a b r u k
GABUK    g a b u k
GABUNG    g a b u ng
GABUS    g a b u s
GACO    g a c o
GACOK    g a c o k
GACONG    g a c o ng
GADA    g a d a
GADA-GADA    g a d a g a d a
GADAI    g a d ##
GADAMALA    g a d a m a l a
GADANG    g a d a ng
GADING    g a d i ng
GADING-GADING    g a d i ng g a d i ng
GADIS    g a d i s
GADO    g a d o
GADO-GADO    g a d o g a d o
GADOLINIT    g a d o l i n i t
GADOLINIUM    g a d o l i n i u m
GADON    g a d o n
GADUH    g a d u h
GADUK    g a d u k
GADUNG    g a d u ng
GADUNGAN    g a d u ng a n
GAEK    g a ## k
GAET    g a ## t
GAFAR    g a f a r
GAFLAH    g a f l a h
GAFLAT    g a f l a t
GAFTAR    g a f t a r
GAFUR    g a f u r
GAGA    g a g a
GAGAH    g a g a h
GAGAI    g a g ##
GAGAK    g a g a k
GAGAL    g a g a l
GAGANG    g a g a ng
GAGAP    g a g a p
GAGAS    g a g a s
GAGAU    g a g ##
GAGU    g a g u
GAGUK    g a g u k
GAH    g a h
GAHAM    g a h a m
GAHAR    g a h a r
GAHARA    g a h a r a
GAHARI    g a h a r i
GAHARU    g a h a r u
GAI    g ##
GAIB    g ## b
GAIL    g ## l
GAIN    g ## n
GAING    g ## ng
GAIRAH    g ## r a h
GAIT    g ## t
GAJAH    g a j a h
GAJAK    g a j a k
GAJI    g a j i
GAJIH    g a j i h
GAJUL    g a j u l
GAJUS    g a j u s
GAKANG    g a k a ng
GAKARI    g a k a r i
GALA    g a l a
GALA-GALA    g a l a g a l a
GALABA    g a l a b a
GALAGANJUR    g a l a g a n j u r
GALAGASI    g a l a g a s i
GALAH    g a l a h
GALAI    g a l ##
GALAK    g a l a k
GALAKSI    g a l a k s i
GALAKTOMETER    g a l a k t o m ## t ## r
GALAKTOREA    g a l a k t o r ## a
GALAKTOSA    g a l a k t o s a
GALAKTOSEMIA    g a l a k t o s ## m i a
GALAKTOSURIA    g a l a k t o s u r i a
GALAN    g a l a n
GALANG    g a l a ng
GALANGGASI    g a l a ng g a s i
GALAR    g a l a r
GALAS    g a l a s
GALAT    g a l a t
GALAU    g a l ##
GALBANI    g a l b a n i
GALENG    g a l ## ng
GALERI    g a l ## r i
GALGAL    g a l g a l
GALI    g a l i
GALIAS    g a l i a s
GALIB    g a l i b
GALIBUT    g a l i b u t
GALIH    g a l i h
GALING-GALING    g a l i ng g a l i ng
GALIOT    g a l i o t
GALIR    g a l i r
GALIUM    g a l i u m
GALIUNG    g a l i u ng
GALON    g a l o n
GALU-GALU    g a l u g a l u
GALUH    g a l u h
GALUNG    g a l u ng
GALUNGAN    g a l u ng a n
GALUR    g a l u r
GALVANIS    g a l f a n i s
GALVANISASI    g a l f a n i s a s i
GALVANOMETER    g a l f a n o m ## t ## r
GALVANOMETRI    g a l f a n o m ## t r i
GALVANOSKOP    g a l f a n o s k o p
GALYAS    g a l y a s
GAM    g a m
GAMA    g a m a
GAMAK    g a m a k
GAMAL    g a m a l
GAMALISASI    g a m a l i s a s i
GAMAM    g a m a m
GAMAN    g a m a n
GAMANG    g a m a ng
GAMAT    g a m a t
GAMBANG    g a m b a ng
GAMBAR    g a m b a r
GAMBAS    g a m b a s
GAMBIR    g a m b i r
GAMBLANG    g a m b l a ng
GAMBLING    g a m b l i ng
GAMBUH    g a m b u h
GAMBUS    g a m b u s
GAMBUT    g a m b u t
GAMBYONG    g a m b y o ng
GAMELAN    g a m ## l a n
GAMET    g a m ## t
GAMETANGIUM    g a m ## t a ng i u m
GAMETOFIT    g a m ## t o f i t
GAMETOGENESIS    g a m ## t o g ## n ## s i s
GAMETOSIT    g a m ## t o s i t
GAMIK    g a m i k
GAMIS    g a m i s
GAMIT    g a m i t
GAMMA    g a m m a
GAMOPETAL    g a m o p ## t a l
GAMOSEPAL    g a m o s ## p a l
GAMPANG    g a m p a ng
GAMPAR    g a m p a r
GAMPARAN    g a m p a r a n
GAMPING    g a m p i ng
GAMUH    g a m u h
GANA    g a n a
GANA-GINI    g a n a g i n i
GANAL    g a n a l
GANANG    g a n a ng
GANAR    g a n a r
GANAS    g a n a s
GANCANG    g a n c a ng
GANCAR    g a n c a r
GANCO    g a n c o
GANCU    g a n c u
GANDA    g a n d a
GANDAL    g a n d a l
GANDAPURA    g a n d a p u r a
GANDAR    g a n d a r
GANDARIA    g a n d a r i a
GANDARUKEM    g a n d a r u k ## m
GANDARUSA    g a n d a r u s a
GANDARWA    g a n d a r w a
GANDASTURI    g a n d a s t u r i
GANDASULI    g a n d a s u l i
GANDEK    g a n d ## k
GANDEM    g a n d ## m
GANDEN    g a n d ## n
GANDENG    g a n d ## ng
GANDES    g a n d ## s
GANDEWA    g a n d ## w a
GANDI    g a n d i
GANDIK    g a n d i k
GANDIN    g a n d i n
GANDING    g a n d i ng
GANDOK    g a n d o k
GANDOLA    g a n d o l a
GANDOS    g a n d o s
GANDRINGAN    g a n d r i ng a n
GANDRUNG    g a n d r u ng
GANDU    g a n d u
GANDUH    g a n d u h
GANDUL    g a n d u l
GANDUM    g a n d u m
GANDUNG    g a n d u ng
GANG    g a ng
GANGGAM    g a ng g a m
GANGGANG    g a ng g a ng
GANGGU    g a ng g u
GANGGUT    g a ng g u t
GANGLION    g a ng l i o n
GANGSA    g a ng s a
GANGSAL    g a ng s a l
GANGSAR    g a ng s a r
GANGSI    g a ng s i
GANGSIR    g a ng s i r
GANGSTER    g a ng s t ## r
GANI    g a n i
GANIH    g a n i h
GANIMAH    g a n i m a h
GANJA    g a n j a
GANJAK    g a n j a k
GANJAL    g a n j a l
GANJAR    g a n j a r
GANJAT    g a n j a t
GANJEN    g a n j ## n
GANJIL    g a n j i l
GANJING    g a n j i ng
GANJLING    g a n j l i ng
GANJUR    g a n j u r
GANOID    g a n ## d
GANTAL    g a n t a l
GANTANG    g a n t a ng
GANTAR    g a n t a r
GANTEL    g a n t ## l
GANTENG    g a n t ## ng
GANTI    g a n t i
GANTIH    g a n t i h
GANTILAN    g a n t i l a n
GANTING    g a n t i ng
GANTOL    g a n t o l
GANTOLE    g a n t o l ##
GANTUNG    g a n t u ng
GANYAH    g a ny a h
GANYANG    g a ny a ng
GANYAR    g a ny a r
GANYONG    g a ny o ng
GANYUT    g a ny u t
GAOK    g a o k
GAP    g a p
GAPAH    g a p a h
GAPAH-GOPOH    g a p a h g o p o h
GAPAI    g a p ##
GAPIL    g a p i l
GAPIT    g a p i t
GAPLE    g a p l ##
GAPLEK    g a p l ## k
GAPLOK    g a p l o k
GAPUK    g a p u k
GAPURA    g a p u r a
GAR    g a r
GARA-GARA    g a r a g a r a
GARAH    g a r a h
GARAI    g a r ##
GARAM    g a r a m
GARAN    g a r a n
GARANG    g a r a ng
GARANGAN    g a r a ng a n
GARANSI    g a r a n s i
GARAP    g a r a p
GARASI    g a r a s i
GARAU    g a r ##
GARBA    g a r b a
GARBARATA    g a r b a r a t a
GARBIS    g a r b i s
GARDA    g a r d a
GARDAN    g a r d a n
GARDU    g a r d u
GAREBEK    g a r ## b ## k
GARI    g a r i
GARIB    g a r i b
GARINDIN    g a r i n d i n
GARING    g a r i ng
GARIS    g a r i s
GARIT    g a r i t
GARIZAH    g a r i z a h
GARMEN    g a r m ## n
GARNET    g a r n ## t
GARNIS    g a r n i s
GARNISUN    g a r n i s u n
GARONG    g a r o ng
GARPU    g a r p u
GARU    g a r u
GARUDA    g a r u d a
GARUK    g a r u k
GARUNG    g a r u ng
GARUT    g a r u t
GARWA    g a r w a
GAS    g a s
GASAB    g a s a b
GASAK    g a s a k
GASAL    g a s a l
GASANG    g a s a ng
GASATRIN    g a s a t r i n
GASIFIKASI    g a s i f i k a s i
GASING    g a s i ng
GASKET    g a s k ## t
GASOLIN    g a s o l i n
GASOMETER    g a s o m ## t ## r
GASTER    g a s t ## r
GASTREKTOMI    g a s t r ## k t o m i
GASTRIN    g a s t r i n
GASTRITIS    g a s t r i t i s
GASTROENTERITIS    g a s t r o ## n t ## r i t i s
GASTROENTEROLOG    g a s t r o ## n t ## r o l o g
GASTROENTEROLOGI    g a s t r o ## n t ## r o l o g i
GASTROINTESTINAL    g a s t r ## n t ## s t i n a l
GASTRONOMI    g a s t r o n o m i
GASTRULA    g a s t r u l a
GASTRULASI    g a s t r u l a s i
GATAL    g a t a l
GATOT    g a t o t
GATRA    g a t r a
GATRIK    g a t r i k
GATUK    g a t u k
GAUK    g ## k
GAUKANG    g ## k a ng
GAUL    g ## l
GAUN    g ## n
GAUNG    g ## ng
GAUT    g ## t
GAWAI    g a w ##
GAWAL    g a w a l
GAWAN    g a w a n
GAWANG    g a w a ng
GAWAR    g a w a r
GAWAT    g a w a t
GAWIR    g a w i r
GAYA    g a y a
GAYAL    g a y a l
GAYAM    g a y a m
GAYANG    g a y a ng
GAYANG-GAYANG    g a y a ng g a y a ng
GAYAT    g a y a t
GAYAU    g a y ##
GAYEM    g a y ## m
GAYENG    g a y ## ng
GAYUH    g a y u h
GAYUK    g a y u k
GAYUN    g a y u n
GAYUNG    g a y u ng
GAYUT    g a y u t
GAZ    g a z
GAZAL    g a z a l
GE    g ##
GEBAH    g ## b a h
GEBANG    g ## b a ng
GEBAR    g ## b a r
GEBENG    g ## b ## ng
GEBER    g ## b ## r
GEBLAK    g ## b l a k
GEBLEK    g ## b l ## k
GEBLOK    g ## b l o k
GEBOGAN    g ## b o g a n
GEBOK    g ## b o k
GEBOS    g ## b o s
GEBOT    g ## b o t
GEBRAK    g ## b r a k
GEBU    g ## b u
GEBUK    g ## b u k
GEBUNG    g ## b u ng
GEBYAH-UYAH    g ## b y a h u y a h
GEBYAR    g ## b y a r
GEBYUR    g ## b y u r
GECAR    g ## c a r
GECEK    g ## c ## k
GECER    g ## c ## r
GECUL    g ## c u l
GEDABAH    g ## d a b a h
GEDANA-GEDINI    g ## d a n a g ## d i n i
GEDANG    g ## d a ng
GEDE    g ## d ##
GEDEBAK-GEDEBUK    g ## d ## b a k g ## d ## b u k
GEDEBAR-GEDEBUR    g ## d ## b a r g ## d ## b u r
GEDEBEG    g ## d ## b ## g
GEDEBOK    g ## d ## b o k
GEDEBUK    g ## d ## b u k
GEDEBUNG    g ## d ## b u ng
GEDEK    g ## d ## k
GEDEMBAI    g ## d ## m b ##
GEDEMBAL    g ## d ## m b a l
GEDEMPOL    g ## d ## m p o l
GEDENG    g ## d ## ng
GEDI    g ## d i
GEDIK    g ## d i k
GEDOK    g ## d o k
GEDOMBAK    g ## d o m b a k
GEDOMBRONGAN    g ## d o m b r o ng a n
GEDONG    g ## d o ng
GEDOR    g ## d o r
GEDUBANG    g ## d u b a ng
GEDUNG    g ## d u ng
GEDUYUT    g ## d u y u t
GEGABAH    g ## g a b a h
GEGADAN    g ## g a d a n
GEGAI    g ## g ##
GEGAK    g ## g a k
GEGALA    g ## g a l a
GEGAMAN    g ## g a m a n
GEGANA    g ## g a n a
GEGAOKAN    g ## g a o k a n
GEGAP    g ## g a p
GEGAR    g ## g a r
GEGARES    g ## g a r ## s
GEGAS    g ## g a s
GEGAT    g ## g a t
GEGAU    g ## g ##
GEGEP    g ## g ## p
GEGER    g ## g ## r
GEGETAR    g ## g ## t a r
GEGETUN    g ## g ## t u n
GEGISIK    g ## g i s i k
GEGUA    g ## g u a
GEIGER    g ## g ## r
GEISER    g ## s ## r
GEJAH    g ## j a h
GEJALA    g ## j a l a
GEJOLAK    g ## j o l a k
GEJOS    g ## j o s
GEJUJU    g ## j u j u
GEL    g ## l
GELA    g ## l a
GELABAH    g ## l a b a h
GELABIR    g ## l a b i r
GELABUR    g ## l a b u r
GELADAK    g ## l a d a k
GELADERI    g ## l a d ## r i
GELADI    g ## l a d i
GELADIR    g ## l a d i r
GELADRAH    g ## l a d r a h
GELAGAH    g ## l a g a h
GELAGAP    g ## l a g a p
GELAGAR    g ## l a g a r
GELAGAT    g ## l a g a t
GELAK    g ## l a k
GELAKAK    g ## l a k a k
GELALAR    g ## l a l a r
GELAM    g ## l a m
GELAMA    g ## l a m a
GELAMAI    g ## l a m ##
GELAMBIR    g ## l a m b i r
GELANDANG    g ## l a n d a ng
GELANDOT    g ## l a n d o t
GELANG    g ## l a ng
GELANGGANG    g ## l a ng g a ng
GELANGSAR    g ## l a ng s a r
GELANTANG    g ## l a n t a ng
GELANTING    g ## l a n t i ng
GELANTUNG    g ## l a n t u ng
GELAP    g ## l a p
GELAPUNG    g ## l a p u ng
GELAR    g ## l a r
GELAS    g ## l a s
GELASAK    g ## l a s a k
GELASIR    g ## l a s i r
GELATAK    g ## l a t a k
GELATIK    g ## l a t i k
GELATIN    g ## l a t i n
GELATUK    g ## l a t u k
GELAYANGAN    g ## l a y a ng a n
GELAYAR    g ## l a y a r
GELAYUT    g ## l a y u t
GELEBAH    g ## l ## b a h
GELEBAP    g ## l ## b a p
GELEBAR    g ## l ## b a r
GELEBER    g ## l ## b ## r
GELEBUK    g ## l ## b u k
GELECA    g ## l ## c a
GELECIK    g ## l ## c i k
GELEDAH    g ## l ## d a h
GELEDANG    g ## l ## d a ng
GELEDEK    g ## l ## d ## k
GELEDING    g ## l ## d i ng
GELEDUR    g ## l ## d u r
GELEGAH    g ## l ## g a h
GELEGAK    g ## l ## g a k
GELEGAR    g ## l ## g a r
GELEGATA    g ## l ## g a t a
GELEK    g ## l ## k
GELEKAK    g ## l ## k a k
GELEKEK    g ## l ## k ## k
GELEMA    g ## l ## m a
GELEMAT    g ## l ## m a t
GELEMBERAN    g ## l ## m b ## r a n
GELEMBONG    g ## l ## m b o ng
GELEMBUNG    g ## l ## m b u ng
GELEMBUR    g ## l ## m b u r
GELEMPANG    g ## l ## m p a ng
GELEMPRANG    g ## l ## m p r a ng
GELENANG    g ## l ## n a ng
GELENDO    g ## l ## n d o
GELENDONG    g ## l ## n d o ng
GELENDOT    g ## l ## n d o t
GELENG    g ## l ## ng
GELENGGANG    g ## l ## ng g a ng
GELENTANG    g ## l ## n t a ng
GELENTING    g ## l ## n t i ng
GELENYAR    g ## l ## ny a r
GELEPAI    g ## l ## p ##
GELEPAR    g ## l ## p a r
GELEPEK    g ## l ## p ## k
GELEPOT    g ## l ## p o t
GELEPUNG    g ## l ## p u ng
GELEPUR    g ## l ## p u r
GELER    g ## l ## r
GELESEK    g ## l ## s ## k
GELESER    g ## l ## s ## r
GELESOT    g ## l ## s o t
GELETA    g ## l ## t a
GELETAK    g ## l ## t a k
GELETAR    g ## l ## t a r
GELETEK    g ## l ## t ## k
GELETIK    g ## l ## t i k
GELETING    g ## l ## t i ng
GELETIS    g ## l ## t i s
GELETUK    g ## l ## t u k
GELI    g ## l i
GELI-GELI    g ## l i g ## l i
GELIANG    g ## l i a ng
GELIAT    g ## l i a t
GELIBIR    g ## l i b i r
GELICIK    g ## l i c i k
GELIGA    g ## l i g a
GELIGI    g ## l i g i
GELIGIN    g ## l i g i n
GELIGIS    g ## l i g i s
GELIGIT    g ## l i g i t
GELIGNIT    g ## l i g n i t
GELIMANG    g ## l i m a ng
GELIMANTANG    g ## l i m a n t a ng
GELIMBIR    g ## l i m b i r
GELIMIR    g ## l i m i r
GELIMPANG    g ## l i m p a ng
GELIMUN    g ## l i m u n
GELINCIR    g ## l i n c i r
GELINCUH    g ## l i n c u h
GELINDING    g ## l i n d i ng
GELINGGAM    g ## l i ng g a m
GELINGGAMAN    g ## l i ng g a m a n
GELINGGANG    g ## l i ng g a ng
GELINGSIR    g ## l i ng s i r
GELINJANG    g ## l i n j a ng
GELINTANG    g ## l i n t a ng
GELINTAR    g ## l i n t a r
GELINTIN    g ## l i n t i n
GELINTING    g ## l i n t i ng
GELINTIR    g ## l i n t i r
GELIPAR    g ## l i p a r
GELISAH    g ## l i s a h
GELITA    g ## l i t a
GELITAR    g ## l i t a r
GELITIK    g ## l i t i k
GELO    g ## l o
GELOBAK    g ## l o b a k
GELOBOK    g ## l o b o k
GELOCAK    g ## l o c a k
GELODAR    g ## l o d a r
GELODOK    g ## l o d o k
GELOGOK    g ## l o g o k
GELOHOK    g ## l o h o k
GELOJOH    g ## l o j o h
GELOMANG    g ## l o m a ng
GELOMBANG    g ## l o m b a ng
GELOMPAR    g ## l o m p a r
GELONDONG    g ## l o n d o ng
GELONENG    g ## l o n ## ng
GELONGGONG    g ## l o ng g o ng
GELONGSOR    g ## l o ng s o r
